Names,Links,Emotion,Genre,BPM
Uptown Funk,https://www.youtube.com/watch?v=OPf0YbXqDm0,Happy,4,115
Party Rock Anthem,https://www.youtube.com/watch?v=KQ6zr6kCPj8,Happy,5,130
Shape of You,https://www.youtube.com/watch?v=JGwWNGJdvx8,Happy,4.5,96
Closer,https://www.youtube.com/watch?v=0zGcUoRlhmw,Love,4.1,95
Girl Like You,https://www.youtube.com/watch?v=aJOTlE1K90k,Mood,3.4,125
We Found Love,https://www.youtube.com/watch?v=tg00YEETFzg,Mood,5,128
Old Town Road,https://www.youtube.com/watch?v=r7qovpFAGrQ,Happy,2,136
Somebody That I Used To Know,https://www.youtube.com/watch?v=8UVNT4wvIGY,Sad,3.6,129
Despacito,https://www.youtube.com/watch?v=kJQP7kiw5Fk,Happy,4,178
Rolling In The Deep,https://www.youtube.com/watch?v=rYEDA3JcQqw,Sad,1,105
Sunflower,https://www.youtube.com/watch?v=ApXoWvfEYVU,Mood,4,90
Never Gonna Give You Up,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Happy,7,113
Call Me Maybe,https://www.youtube.com/watch?v=fWNaR-rxAic,Happy,4,120
Blurred Lines,https://www.youtube.com/watch?v=yyDUC1LUXSU,Happy,7,120
Perfect,https://www.youtube.com/watch?v=2Vv-BfVoq4g,Love,2.3,95
Sicko Mode,https://www.youtube.com/watch?v=6ONRf7h3Mdk,Angry,6,155
All About That Bass,https://www.youtube.com/watch?v=7PCkvCPvDXk,Happy,4.5,134
Royals,https://www.youtube.com/watch?v=nlcIKh6sBtc,Mood,3.2,85
God's Plan,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,Mood,6,77
Move Like Jagger,https://www.youtube.com/watch?v=iEPTlhBmwRg,Happy,7,128
Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs,Happy,4.6,160
Just The Way You Are,https://www.youtube.com/watch?v=LjhCEhWiKXk,Love,3.7,109
7star,https://www.youtube.com/watch?v=UceaB4D0jpo,Mood,7,160
